Project_ID,Project_Name,Project_Type,Scope_Complexity,Estimated_Cost_USD,Resource_Allocation_Score,Risk_Assessment_Score,Environmental_Impact_Score,Historical_Cost_Deviation_%,Stakeholder_Priority_Score,Time_Estimate_Days,Feasibility_Label,Scope_Complexity_Numeric,Unnamed: 13,Unnamed: 14,Engineered_Area,Site_Prep_Planned_Cost,Site_Prep_Planned_Days,Site_Prep_Stage_Risk,Foundations_Planned_Cost,Foundations_Planned_Days,Foundations_Stage_Risk,Structure_Planned_Cost,Structure_Planned_Days,Structure_Stage_Risk,Systems_Planned_Cost,Systems_Planned_Days,Systems_Stage_Risk,Finishing_Planned_Cost,Finishing_Planned_Days,Finishing_Stage_Risk
P0784,Smart Solar Grid,Building,Low,6558956,62,35,48,7.25,0.59,212,Borderline,1,,,2179.92,288343.72,16,33.46,981896.56,23,57.6,1679315.45,45,21.28,1860186.25,67,42.38,1749214.03,61,20.28
P0785,Industrial Complex,Building,Medium,4031756,64,37,80,0.68,0.84,348,Feasible,2,,,1448.77,281757.03,25,29.74,541318.51,45,60.06,1135187.53,87,28.48,1106700.61,89,44.75,966792.32,103,21.98
P0786,Smart Solar Grid,Building,Low,1843523,72,80,89,9.55,0.88,515,Feasible,1,,,856.56,78119.08,43,75.56,258389.66,57,100.0,522701.11,108,64.42,676126.02,156,100.0,308187.14,151,33.58
P0787,Industrial Complex,Building,Low,1546237,93,40,98,1.93,0.71,256,Feasible,1,,,676.12,57761.98,21,36.87,216684.96,31,69.9,442838.48,64,30.99,549250.29,69,43.4,279701.29,72,18.83
P0788,Smart Solar Grid,Power Plant,Medium,6444032,75,92,99,8.83,0.93,224,Feasible,2,,,722.03,403293.37,28,78.65,712784.06,38,100.0,1001268.54,35,54.68,3400157.78,82,100.0,926528.25,41,99.79
P0789,Industrial Complex,Power Plant,High,5895207,53,86,43,8.09,0.58,424,Not Feasible,3,,,698.53,532342.96,49,73.54,588731.78,82,94.89,1004304.17,71,51.08,3066519.12,163,100.0,703308.97,59,98.56
P0790,Urban Flyover,Road,High,5040479,75,41,42,9.68,0.64,458,Borderline,3,,,14416.72,1260464.41,177,72.56,753389.72,81,50.75,1292846.23,95,38.13,678083.23,53,27.32,1055695.41,53,16.23
P0791,Highway Expansion,Power Plant,Low,1092193,89,31,29,4.78,0.55,136,Feasible,1,,,171.44,70552.25,18,25.67,128807.03,24,32.81,190261.92,21,20.89,589547.68,58,39.96,113024.13,15,35.67
P0792,Smart Solar Grid,Bridge,Medium,4181915,58,37,73,7.27,0.61,173,Feasible,2,,,653.61,310772.23,17,29.5,1072256.55,42,61.27,1595174.23,64,54.0,627761.57,23,25.57,575950.41,27,14.66
P0793,Industrial Complex,Road,High,5700254,54,40,60,3.71,0.62,231,Not Feasible,3,,,18566.97,1190657.07,85,68.18,940545.38,36,56.04,1584468.36,53,31.89,604994.09,30,26.42,1379589.11,27,17.46
P0794,Urban Flyover,Water Infra,Medium,2186887,81,82,68,1.84,0.96,291,Not Feasible,2,,,969.74,250181.51,53,100.0,405661.93,60,100.0,936638.28,91,46.41,472837.65,44,70.79,121567.64,43,77.11
P0795,Urban Flyover,Building,Medium,4008038,69,39,36,4.43,0.54,535,Feasible,2,,,1940.96,278994.96,52,36.53,541444.6,64,65.44,1258475.83,126,29.78,1141231.06,148,46.01,787891.56,146,17.24
P0796,Highway Expansion,Power Plant,High,1508153,99,37,75,1.66,0.71,538,Not Feasible,3,,,205.76,117293.83,64,27.31,186021.78,96,40.17,234895.4,96,25.98,778888.04,213,50.2,191053.95,69,41.35
P0797,Industrial Complex,Bridge,Low,4334817,60,65,64,9.82,0.77,581,Feasible,1,,,864.21,343157.38,48,45.48,866850.97,154,100.0,1835994.85,213,100.0,564559.17,75,38.39,724254.63,92,19.41
P0798,Smart Solar Grid,Water Infra,Medium,4582069,64,43,49,0.96,0.95,424,Feasible,2,,,2431.94,551312.15,71,49.23,737424.64,97,57.78,1937479.66,124,24.12,902533.87,72,37.21,453318.67,61,46.66
P0799,Dam Reinforcement,Building,Medium,6554946,81,83,63,5.89,1.0,557,Feasible,2,,,2092.35,302724.98,52,70.67,1006081.6,66,100.0,2076552.31,148,61.72,1602892.81,131,94.27,1566694.3,160,55.64
P0800,Urban Flyover,Building,Low,3715514,77,50,93,6.26,0.88,263,Feasible,1,,,1665.88,198911.52,19,45.35,551123.92,30,80.01,938584.84,47,34.17,1062275.57,77,60.6,964618.15,90,29.87
P0801,Urban Flyover,Water Infra,Low,5881713,71,79,74,5.38,0.99,204,Feasible,1,,,3144.89,787267.41,38,96.59,1059969.28,43,100.0,2282977.04,53,50.67,1361139.72,42,66.37,390359.56,28,78.11
P0802,Highway Expansion,Water Infra,High,3658571,90,68,38,6.62,0.89,131,Borderline,3,,,1735.15,365961.08,25,77.54,664265.17,32,92.98,1466670.37,34,49.08,866593.43,23,55.68,295080.94,16,64.72
P0803,Industrial Complex,Water Infra,Low,5834357,66,49,48,1.16,0.98,371,Not Feasible,1,,,3042.93,778522.0,62,58.7,1109562.13,82,64.33,2216104.69,99,31.3,1279466.71,77,43.44,450701.46,51,47.23
P0804,Dam Reinforcement,Bridge,High,6054699,75,36,21,5.55,0.85,335,Feasible,3,,,1040.36,365940.09,32,29.5,1257000.87,97,62.14,2582808.29,122,52.2,882366.86,46,21.78,966582.9,39,14.38
P0805,Dam Reinforcement,Road,High,2679748,93,38,55,2.87,0.54,245,Feasible,3,,,4081.21,670260.96,84,64.81,423567.41,43,50.46,718403.66,59,33.38,359115.44,27,20.59,508400.54,32,20.75
P0806,Dam Reinforcement,Road,Medium,3223069,56,30,38,9.4,0.7,217,Not Feasible,2,,,7150.78,630193.0,73,52.68,607046.54,37,37.06,897309.91,53,27.22,336840.48,29,18.98,751679.08,25,14.06
P0807,Industrial Complex,Power Plant,Low,4445498,91,55,26,7.62,0.82,511,Feasible,1,,,658.21,248592.62,68,42.69,516116.08,85,60.9,811637.88,101,34.61,2286964.0,166,76.68,582187.41,91,60.12
P0808,Smart Solar Grid,Building,Low,5892472,75,67,45,9.73,0.68,524,Not Feasible,1,,,2401.0,287871.27,49,58.52,1001988.41,78,100.0,1824054.2,81,56.0,1375682.29,144,71.81,1402875.84,172,33.54
P0809,Urban Flyover,Power Plant,Medium,1481680,74,67,98,0.38,0.64,423,Not Feasible,2,,,178.47,144856.82,50,55.38,171068.49,80,75.12,294234.41,75,39.38,707865.58,156,84.49,163654.7,62,80.63
P0810,Industrial Complex,Road,Medium,6165679,59,90,57,2.85,0.79,511,Not Feasible,2,,,9239.84,1243854.38,185,100.0,1089966.89,90,100.0,1586283.73,119,82.51,723406.95,67,46.48,1522167.05,51,43.7
P0811,Dam Reinforcement,Water Infra,Low,3636694,94,73,22,1.95,0.97,147,Feasible,1,,,1691.15,439470.75,26,89.06,690490.89,29,100.0,1394898.25,47,46.38,799453.77,25,63.94,312380.34,19,65.21
P0812,Urban Flyover,Building,High,6287118,68,73,99,0.11,0.52,455,Feasible,3,,,2882.25,220647.79,44,63.82,961302.71,49,100.0,2016524.16,103,51.59,1832253.53,101,82.79,1256389.81,158,32.48
P0813,Urban Flyover,Road,Low,6020500,60,91,85,2.42,0.88,385,Borderline,1,,,11461.08,1498350.78,135,100.0,906694.66,68,100.0,1568735.19,94,83.75,629755.15,46,50.41,1416964.22,42,50.71
P0814,Dam Reinforcement,Building,Low,3961293,62,35,90,6.79,0.86,171,Feasible,1,,,1373.65,201826.74,16,30.74,579626.5,20,55.69,1174370.72,29,25.54,924970.21,48,41.69,1080498.83,58,21.34
P0815,Dam Reinforcement,Power Plant,Medium,5100673,57,46,62,2.31,0.98,262,Borderline,2,,,757.18,246339.54,33,36.83,641781.17,42,50.5,863061.22,51,29.31,2780915.77,110,61.37,568575.3,26,51.99
P0816,Urban Flyover,Road,High,2534026,89,80,81,5.09,0.97,251,Not Feasible,3,,,5460.2,695831.89,92,100.0,396349.84,43,100.0,609646.26,57,62.71,264566.9,34,44.39,567631.11,25,35.91
P0817,Highway Expansion,Power Plant,Medium,1315826,53,67,90,8.88,0.88,465,Feasible,2,,,148.9,107371.62,58,51.07,181949.23,85,72.52,238219.74,75,45.57,602876.01,171,89.54,185409.41,76,76.31
P0818,Urban Flyover,Building,Low,4467366,96,53,43,6.94,0.76,326,Not Feasible,1,,,1494.19,230229.63,33,46.72,692213.57,50,88.32,1235928.7,70,41.9,1194109.23,84,57.56,1114884.86,88,30.5
P0819,Smart Solar Grid,Bridge,High,1327359,80,80,58,3.95,0.6,599,Feasible,3,,,227.01,90921.81,52,58.52,334287.84,189,100.0,506941.68,202,100.0,211618.18,82,57.0,183589.49,75,32.18
P0820,Smart Solar Grid,Water Infra,Medium,4748603,77,39,87,3.72,0.77,181,Not Feasible,2,,,2254.33,727855.45,29,45.07,945455.27,40,52.09,1841862.67,57,27.82,953605.25,35,29.43,279824.37,20,40.59
P0821,Highway Expansion,Power Plant,High,5201253,60,50,63,4.56,0.88,482,Feasible,3,,,724.4,308410.05,55,41.73,674677.04,82,52.64,834649.85,82,28.93,2840152.96,187,66.03,543363.09,75,60.68
P0822,Industrial Complex,Building,High,3860337,92,99,24,1.77,0.95,251,Borderline,3,,,1745.98,160830.49,18,86.74,428557.9,30,100.0,1223661.89,47,66.57,1162242.09,72,100.0,885044.64,84,55.25
P0823,Urban Flyover,Road,High,1317537,50,86,74,6.34,0.89,160,Feasible,3,,,2989.74,299328.72,53,100.0,229799.0,29,100.0,340055.51,35,77.86,168020.47,23,43.55,280333.3,19,40.48
P0824,Smart Solar Grid,Power Plant,Low,1550222,98,68,49,3.64,0.6,320,Not Feasible,1,,,204.98,108799.8,41,57.8,219353.46,61,78.2,226583.42,48,41.3,790634.85,122,89.98,204850.47,47,72.71
P0825,Urban Flyover,Building,Medium,5975026,96,62,48,8.52,0.8,218,Feasible,2,,,2085.78,230307.67,20,51.13,714589.53,27,100.0,1825222.33,43,39.88,1573442.34,60,74.29,1631464.13,68,40.01
P0826,Highway Expansion,Bridge,Medium,3573619,87,88,45,7.57,0.67,430,Not Feasible,2,,,640.56,216668.98,26,71.35,784798.36,129,100.0,1582893.49,144,100.0,494124.81,64,51.45,495133.36,67,36.24
P0827,Dam Reinforcement,Power Plant,Low,3453752,73,47,45,6.11,0.5,403,Not Feasible,1,,,431.18,253316.75,52,38.7,420627.24,62,50.48,669506.7,66,29.82,1638896.45,159,64.22,471404.86,65,51.78
P0828,Highway Expansion,Building,High,2364133,96,85,56,3.64,0.6,476,Not Feasible,3,,,1165.62,152853.74,40,75.12,347627.81,55,100.0,611548.78,112,70.42,828042.96,129,94.75,424059.71,140,35.28
P0829,Highway Expansion,Power Plant,Medium,2932247,80,86,72,2.1,0.56,166,Feasible,2,,,380.62,164164.12,20,72.3,321569.3,28,99.56,496029.97,26,53.08,1593702.98,68,100.0,356780.63,23,91.78
P0830,Highway Expansion,Building,Low,2353038,90,77,49,7.76,0.92,256,Borderline,1,,,784.55,161812.83,16,64.96,348074.12,34,100.0,653092.21,66,51.69,647854.86,57,92.36,542203.97,83,37.33
P0831,Smart Solar Grid,Water Infra,Medium,1250875,95,71,22,4.86,0.63,249,Feasible,2,,,664.97,169792.67,41,83.32,203948.99,58,91.71,531350.58,78,47.24,275284.83,42,62.04,70497.92,29,70.69
P0832,Highway Expansion,Building,High,5657693,99,56,62,2.25,0.64,314,Feasible,3,,,1993.26,215726.1,30,49.04,872300.57,36,94.76,1549718.49,54,35.98,1628456.1,96,59.54,1391491.74,99,40.68
P0833,Dam Reinforcement,Building,Medium,5264694,75,81,26,1.95,0.98,236,Feasible,2,,,2095.49,319027.99,16,65.6,710155.51,29,100.0,1452623.07,39,49.68,1673365.35,76,100.0,1109522.08,76,50.03
P0834,Dam Reinforcement,Building,High,1707689,98,71,68,1.65,0.69,483,Borderline,3,,,787.26,70657.71,35,70.95,279958.75,54,100.0,465885.07,88,49.23,438909.65,147,72.28,452277.82,160,39.6
P0835,Dam Reinforcement,Road,High,5447794,99,61,92,7.77,0.5,551,Not Feasible,3,,,13398.94,1449237.88,176,100.0,929250.45,108,77.72,1303107.31,124,51.04,589274.52,70,37.71,1176923.83,72,28.12
P0836,Industrial Complex,Building,Low,2615952,54,55,60,2.29,0.64,188,Not Feasible,1,,,1062.9,110062.22,18,47.0,342960.37,20,88.23,638526.47,41,44.92,886932.56,56,64.38,637470.37,54,30.47
P0837,Highway Expansion,Water Infra,High,2296516,69,54,96,5.27,0.56,577,Borderline,3,,,969.0,355443.34,107,60.16,374527.79,121,73.19,977975.83,184,36.21,406607.67,95,50.31,181961.36,71,50.12
P0838,Dam Reinforcement,Bridge,Low,3530179,90,52,98,4.52,0.55,147,Feasible,1,,,544.43,241726.17,13,35.47,940515.36,41,86.86,1453580.79,56,82.91,469604.28,17,31.94,424752.41,20,22.82
P0839,Industrial Complex,Water Infra,Medium,2556617,60,86,73,5.8,0.54,454,Feasible,2,,,1063.54,385912.79,85,100.0,392391.22,97,100.0,1074406.71,142,53.09,521201.1,71,76.24,182705.18,60,85.17
P0840,Highway Expansion,Bridge,High,4463351,82,81,88,8.77,0.8,133,Not Feasible,3,,,929.09,374725.23,10,59.56,953246.99,36,100.0,1909461.07,47,100.0,674386.65,21,56.17,551531.05,19,29.86
P0841,Highway Expansion,Road,Medium,2265040,99,60,46,8.68,0.59,165,Borderline,2,,,3721.92,483514.91,58,100.0,407278.47,30,75.11,582066.16,36,58.34,281975.15,22,29.39,510205.32,18,34.79
P0842,Urban Flyover,Road,High,6753616,87,93,27,4.51,0.68,590,Not Feasible,3,,,10695.78,1464236.25,199,100.0,1268931.07,109,100.0,1757140.71,131,74.01,806757.61,83,47.46,1456550.36,69,54.58
P0843,Highway Expansion,Road,Low,2854971,76,62,51,0.15,0.93,516,Feasible,1,,,6469.01,778813.45,161,100.0,478050.0,101,79.34,774452.88,125,54.32,275765.77,59,36.01,547888.91,71,28.81
P0844,Urban Flyover,Bridge,Medium,1650199,83,31,83,4.26,0.71,135,Feasible,2,,,319.66,120324.56,13,25.4,438654.98,36,55.68,683361.43,48,45.8,190676.39,21,18.22,217181.63,16,9.9
P0845,Smart Solar Grid,Water Infra,Medium,5034628,64,47,29,6.06,0.96,597,Feasible,2,,,2721.38,617573.85,95,54.99,980664.88,139,62.69,2156544.68,191,27.2,835319.05,90,42.65,444525.55,83,47.47
P0846,Smart Solar Grid,Power Plant,Medium,2849396,81,76,32,5.58,0.75,543,Not Feasible,2,,,428.23,181348.05,55,61.0,288440.53,98,87.52,484124.64,99,46.35,1503958.03,228,99.29,391524.75,63,85.84
P0847,Industrial Complex,Road,High,3691276,70,62,82,6.51,0.7,575,Feasible,3,,,6646.59,994391.77,200,100.0,570249.91,94,86.14,897762.52,138,56.67,485555.68,59,32.43,743316.12,85,26.84
P0848,Urban Flyover,Bridge,High,1628861,95,64,54,1.54,0.88,328,Borderline,3,,,304.83,92807.72,28,44.12,336500.36,100,100.0,747250.68,117,100.0,259514.09,48,42.67,192788.16,35,22.73
P0849,Smart Solar Grid,Water Infra,High,3526954,54,80,80,6.47,0.54,277,Feasible,3,,,1382.8,470777.23,48,100.0,735836.33,61,100.0,1425488.96,81,42.94,704225.36,48,61.79,190626.13,39,82.88
P0850,Smart Solar Grid,Road,High,1661614,55,47,73,1.83,0.54,456,Feasible,3,,,2517.81,316049.77,167,79.08,291502.42,72,64.16,451472.62,104,37.98,213884.62,51,24.46,388704.58,62,29.32
P0851,Smart Solar Grid,Building,Low,5873878,87,59,27,7.51,0.83,346,Not Feasible,1,,,2707.86,293944.58,23,57.81,639947.02,47,98.66,1695582.73,77,40.67,1770695.44,100,73.18,1473708.23,99,24.68
P0852,Highway Expansion,Water Infra,High,5693174,71,73,48,3.39,0.74,568,Feasible,3,,,2930.01,742569.2,107,85.28,1099884.22,115,100.0,2135741.29,192,45.63,1190648.27,86,57.16,524331.02,69,76.21
P0853,Urban Flyover,Bridge,Low,4357519,67,82,60,7.1,0.9,360,Not Feasible,1,,,888.2,328552.59,28,64.66,1081413.32,118,100.0,1773714.73,133,100.0,629187.01,41,46.47,544651.35,40,28.74
P0854,Smart Solar Grid,Power Plant,High,1666997,63,39,49,0.48,0.96,177,Not Feasible,3,,,200.01,111187.85,22,33.55,207134.85,31,41.8,306013.21,34,25.89,806764.67,60,51.35,235896.42,29,42.42
P0855,Urban Flyover,Power Plant,Medium,2726351,59,81,40,4.08,0.69,591,Not Feasible,2,,,358.63,202535.98,65,63.18,323790.61,100,91.27,489588.78,107,50.54,1339050.27,226,100.0,371385.36,93,90.93
P0856,Dam Reinforcement,Power Plant,High,2072647,95,78,95,7.05,0.8,423,Feasible,3,,,268.04,121220.18,44,58.83,272603.98,75,90.83,365352.81,68,50.02,1025039.09,164,99.67,288430.95,72,90.65
P0857,Dam Reinforcement,Building,Low,2631107,62,40,30,2.27,0.75,424,Feasible,1,,,1000.84,118160.96,33,36.28,414730.91,59,64.09,765276.81,111,27.48,755019.02,109,49.35,577919.3,113,22.8
P0858,Highway Expansion,Water Infra,High,2028455,80,95,21,7.95,0.99,464,Feasible,3,,,1102.36,308954.3,93,100.0,363566.61,105,100.0,814137.22,127,65.16,414882.46,75,84.91,126914.41,64,87.87
P0859,Dam Reinforcement,Road,High,6106563,79,87,69,6.31,0.92,249,Not Feasible,3,,,12403.02,1503756.6,90,100.0,1107683.8,50,100.0,1397180.66,53,70.69,810658.46,29,55.35,1287283.49,27,45.66
P0860,Industrial Complex,Water Infra,Medium,2305794,52,65,60,5.88,0.96,336,Feasible,2,,,1161.91,333442.69,59,75.56,402999.75,80,90.32,1020029.42,90,33.52,398470.74,64,57.61,150851.4,43,67.98
P0861,Urban Flyover,Power Plant,Low,6457759,79,62,85,3.54,0.63,133,Feasible,1,,,904.85,313566.42,18,49.94,894983.5,24,68.19,973779.3,25,42.35,3451987.27,47,81.3,823442.51,19,68.22
P0862,Smart Solar Grid,Building,Low,6606594,55,76,22,4.82,0.89,478,Feasible,1,,,2457.69,347982.86,30,71.71,1076513.47,55,100.0,1972798.55,89,45.79,1707397.98,136,92.58,1501901.13,168,45.57
P0863,Industrial Complex,Power Plant,Medium,2950367,78,42,99,5.97,0.63,496,Not Feasible,2,,,389.39,267103.31,49,34.87,321230.1,78,46.5,525774.33,91,26.26,1449765.54,200,53.11,386493.72,77,49.28
P0864,Industrial Complex,Bridge,Medium,2910705,57,69,70,4.72,0.6,362,Not Feasible,2,,,455.12,222578.76,22,49.29,666489.54,109,100.0,1250443.22,126,100.0,371420.6,53,51.37,399772.87,52,24.85
P0865,Dam Reinforcement,Water Infra,Medium,2601596,93,97,87,6.98,0.97,264,Feasible,2,,,1214.94,350751.91,47,100.0,472110.5,60,100.0,1050880.02,81,50.79,472914.71,45,90.64,254938.86,31,91.9
P0866,Urban Flyover,Building,High,4791481,94,71,44,4.34,0.51,498,Not Feasible,3,,,1899.09,336859.86,35,63.43,663036.54,67,100.0,1164776.74,122,50.97,1503011.4,118,87.05,1123796.46,155,29.51
P0867,Smart Solar Grid,Power Plant,Low,6123122,92,48,49,2.02,0.98,534,Feasible,1,,,925.74,311962.02,53,39.2,784244.03,86,51.42,974663.4,100,33.39,3268300.72,233,65.31,783951.82,63,50.68
P0868,Industrial Complex,Building,Medium,5150276,93,48,30,2.14,0.57,513,Not Feasible,2,,,2139.21,240472.47,31,44.53,870630.07,67,82.87,1299652.69,129,31.09,1347869.55,128,59.1,1391651.22,159,22.41
P0869,Highway Expansion,Bridge,Medium,6723601,82,87,36,0.06,0.91,445,Borderline,2,,,1091.94,463606.81,33,70.74,1607157.11,113,100.0,2910758.86,179,100.0,893033.01,68,51.61,849045.21,52,28.27
P0870,Smart Solar Grid,Bridge,Low,6354075,66,52,45,3.01,0.64,222,Feasible,1,,,1118.62,322793.3,22,38.21,1473226.06,61,90.82,2797794.8,85,77.98,934204.19,23,33.92,826056.64,31,19.07
P0871,Dam Reinforcement,Water Infra,High,6279548,97,83,42,7.49,0.68,336,Borderline,3,,,2899.64,772111.69,50,100.0,1177371.32,76,100.0,2612511.03,109,45.01,1198573.47,54,71.63,518980.49,47,77.93
P0872,Urban Flyover,Building,High,3382357,60,94,75,7.94,0.61,477,Feasible,3,,,1095.61,242987.96,45,76.72,477596.93,72,100.0,822242.33,92,79.67,1020654.56,115,100.0,818875.21,153,58.01
P0873,Highway Expansion,Power Plant,High,4487124,62,41,71,2.02,0.79,540,Not Feasible,3,,,725.3,347581.73,78,32.2,501192.47,98,45.71,724635.84,99,26.74,2459145.56,189,54.82,454568.41,76,45.53
P0874,Smart Solar Grid,Power Plant,Low,6241476,99,53,67,9.59,0.67,183,Borderline,1,,,737.5,491459.18,27,44.49,799098.16,33,59.46,1116051.58,33,31.15,3080387.81,66,70.83,754479.27,23,59.07
P0875,Smart Solar Grid,Road,High,3245131,60,63,39,5.02,0.83,277,Feasible,3,,,6989.06,664503.39,100,100.0,515103.51,44,80.56,964984.54,66,52.37,443247.32,35,35.36,657292.24,32,42.05
P0876,Industrial Complex,Power Plant,High,6392729,80,82,21,9.17,0.51,281,Borderline,3,,,956.76,502614.16,40,63.88,774677.81,51,89.09,1133310.74,51,54.98,3208958.8,107,100.0,773167.48,32,94.13
P0877,Smart Solar Grid,Water Infra,Low,5246049,77,37,50,7.07,0.53,137,Feasible,1,,,2562.17,619710.04,25,40.93,931323.31,30,50.17,2237121.57,46,25.96,1193723.74,22,33.25,264170.35,15,34.7
P0878,Urban Flyover,Bridge,Low,1091865,93,47,46,7.22,0.55,335,Feasible,1,,,208.5,90180.93,21,39.6,295368.3,93,79.82,449818.39,122,70.87,121369.51,52,28.14,135127.86,47,16.57
P0879,Urban Flyover,Power Plant,Medium,5044588,55,86,21,0.85,0.71,438,Borderline,2,,,744.5,372493.27,55,70.99,580898.51,71,94.88,796307.32,70,52.34,2645693.75,177,100.0,649195.15,66,100.0
P0880,Smart Solar Grid,Road,Low,6455770,90,34,97,2.2,0.91,168,Not Feasible,1,,,10947.57,1304444.45,53,60.45,1006701.62,33,45.38,1765536.63,42,29.67,932484.72,18,20.68,1446602.58,22,13.83
P0881,Industrial Complex,Water Infra,High,2072200,65,55,23,0.09,0.94,175,Feasible,3,,,809.94,232356.33,28,64.41,390761.4,36,76.18,886804.48,58,35.53,346159.73,30,47.27,216118.07,23,51.62
P0882,Highway Expansion,Water Infra,Low,3120473,53,59,32,7.16,0.62,466,Borderline,1,,,1323.92,363158.3,85,72.27,589000.01,100,83.4,1313501.57,145,31.63,583898.28,81,53.38,270914.82,54,54.33
P0883,Highway Expansion,Water Infra,High,3500856,84,83,54,3.44,0.79,177,Not Feasible,3,,,1728.96,498839.44,27,100.0,660026.85,40,100.0,1383571.29,59,51.95,646908.19,27,68.14,311510.23,24,87.73
P0884,Industrial Complex,Water Infra,Medium,3906158,97,42,91,7.87,0.88,274,Feasible,2,,,1614.3,550823.16,42,49.02,649932.84,59,59.98,1596954.07,91,25.87,823064.51,42,34.71,285383.42,40,40.42
P0885,Dam Reinforcement,Water Infra,High,5068472,75,58,85,3.39,0.64,174,Feasible,3,,,1980.14,646381.19,28,71.4,813868.76,41,80.07,2281570.65,56,36.82,1016605.81,27,47.54,310045.59,21,54.16
P0886,Urban Flyover,Water Infra,High,2222869,61,32,25,8.19,0.7,460,Feasible,3,,,1105.84,267771.82,88,38.11,432843.69,101,42.69,808054.3,125,17.27,494979.33,86,28.76,219219.86,60,33.16
P0887,Dam Reinforcement,Bridge,High,3283869,60,87,50,1.31,0.76,138,Feasible,3,,,577.67,207488.25,10,65.82,759395.21,41,100.0,1460658.67,49,100.0,486406.06,21,53.1,369920.81,17,32.22
P0888,Industrial Complex,Bridge,Low,4125354,86,31,29,1.73,0.57,270,Not Feasible,1,,,638.12,343487.95,19,26.05,946471.21,80,50.83,1686834.08,99,44.51,637624.76,33,19.07,510935.99,39,14.55
P0889,Dam Reinforcement,Road,High,5082494,74,57,40,3.41,0.51,478,Borderline,3,,,9876.34,1064512.55,168,100.0,815632.5,86,76.13,1496571.41,109,48.77,538323.09,55,29.94,1167454.45,59,27.14
P0890,Industrial Complex,Power Plant,Low,2429551,67,31,93,4.08,0.58,487,Not Feasible,1,,,399.37,175778.03,50,25.13,336657.27,88,33.47,403516.67,85,19.05,1197747.45,188,43.11,315851.59,76,34.23
P0891,Highway Expansion,Building,Medium,3281020,68,36,42,3.49,0.81,227,Feasible,2,,,1453.69,193419.97,14,29.82,456106.03,33,62.64,816436.95,43,30.4,1197904.73,66,41.33,617152.32,71,15.81
P0892,Highway Expansion,Bridge,Medium,3756944,72,55,22,7.64,0.54,166,Not Feasible,2,,,800.24,215496.28,15,38.16,792153.58,47,91.46,1576269.38,63,82.56,574159.51,18,39.53,598865.25,22,23.29
P0893,Dam Reinforcement,Building,Medium,5782883,87,45,51,0.97,0.59,326,Not Feasible,2,,,1975.28,276572.87,28,39.84,779831.75,39,73.8,1505533.99,75,27.32,2194774.33,92,53.52,1026170.05,92,30.53
P0894,Dam Reinforcement,Road,High,3287623,67,52,39,3.51,0.67,482,Not Feasible,3,,,9476.79,776792.55,157,89.18,578256.94,94,70.36,859773.43,103,44.9,364328.18,69,29.98,708471.9,59,25.57
P0895,Urban Flyover,Power Plant,High,1914032,75,69,93,8.37,0.54,569,Not Feasible,3,,,214.78,111321.05,80,58.33,232114.32,98,72.07,319725.56,103,42.93,1055275.72,180,92.5,195595.35,109,79.17
P0896,Highway Expansion,Bridge,Medium,4982588,55,89,48,0.67,0.6,554,Borderline,2,,,1086.51,285487.81,40,62.55,874896.28,155,100.0,2208592.92,216,100.0,780760.1,63,60.33,832850.9,80,33.79
P0897,Urban Flyover,Bridge,Medium,2567438,53,61,71,9.42,0.96,459,Not Feasible,2,,,483.54,201665.77,41,49.59,611172.9,123,100.0,993415.15,158,93.58,393472.64,66,36.31,367711.53,71,21.71
P0898,Dam Reinforcement,Power Plant,Low,6718654,93,44,65,9.86,0.51,531,Feasible,1,,,1065.9,485512.03,64,35.12,644811.93,114,48.83,1256685.43,110,28.2,3661676.8,182,57.9,669967.81,61,49.95
P0899,Industrial Complex,Power Plant,Low,1917559,78,42,53,0.89,0.83,247,Not Feasible,1,,,298.06,180468.9,32,33.23,206595.32,41,46.91,331238.51,45,26.89,938701.31,84,56.3,260554.97,45,46.67
P0900,Highway Expansion,Building,Medium,1635605,83,34,80,2.91,0.69,304,Feasible,2,,,550.73,118959.08,23,28.53,259959.19,35,54.82,408328.32,62,30.18,410345.59,89,34.45,438012.83,95,22.01
P0901,Industrial Complex,Building,Medium,5583897,66,81,91,3.72,0.84,177,Feasible,2,,,1764.38,246602.48,18,74.98,683599.16,24,100.0,1466303.47,37,60.73,1937081.39,48,96.39,1250310.51,50,42.59
P0902,Urban Flyover,Power Plant,Medium,1815131,92,70,90,7.76,0.79,262,Feasible,2,,,236.71,99934.1,33,55.86,239306.32,42,79.61,359669.22,47,48.17,875601.09,99,88.49,240620.27,41,77.87
P0903,Urban Flyover,Bridge,Medium,1067661,92,82,89,5.96,0.61,519,Feasible,2,,,171.81,74843.39,41,57.92,224284.56,129,100.0,488647.13,197,100.0,144264.34,73,55.47,135621.56,79,37.19
P0904,Smart Solar Grid,Water Infra,High,6914988,65,79,30,6.44,0.92,216,Not Feasible,3,,,2954.4,715402.65,42,96.39,1100542.86,45,100.0,2884841.97,68,49.51,1748232.81,34,72.35,465967.7,28,70.97
P0905,Highway Expansion,Road,High,6388986,51,44,82,7.58,0.75,166,Feasible,3,,,19866.67,1727518.48,62,77.08,920778.06,27,59.91,1588867.7,38,37.58,866939.19,21,21.87,1284882.57,19,23.56
